"year","inflation","rf_1y","severity_trend_factor","discount_factor","trended_frequency","trended_severity","trended_pure_premium","trended_technical_premium","pv_trended_technical_premium","portfolio_trended_technical_premium","portfolio_pv_trended_technical_premium"
2175,0.0212188672223312,0.0476661523947707,1.02121886722233,0.954502536627899,0.017131431608215,10339.1696309225,177.124777417883,229.606192949108,219.159693595399,19740656.6468803,18842506.8441476
2176,0.0185319978553768,0.0479259363684886,1.04014409307957,0.910849234188877,0.017131431608215,10530.7751003492,180.407253413126,233.861254424422,213.012344498935,20106490.453524,18313981.4318183
2177,0.0158451284884223,0.0481857203422066,1.05662530988088,0.868976953713419,0.017131431608215,10697.6365848969,183.2658295237,237.566816049241,206.440088113865,20425080.3782113,17748924.1264098
2178,0.0131582591214679,0.0484455043159245,1.0705286595026,0.828824149787735,0.017131431608215,10838.3988590682,185.677288796684,240.692781773479,199.491990213448,20693838.8784047,17151553.4142381
2179,0.0104713897545134,0.0487052882896425,1.08173858233963,0.79033085752765,0.017131431608215,10951.8919578364,187.621588056235,243.213169702527,192.218872973016,20910532.1308175,16526238.7903085
2180,0.00778452038755896,0.0489650722633604,1.09015939838786,0.75343867820341,0.017131431608215,11037.1471840645,189.082132133605,245.106467580599,184.672692953034,21073310.5945046,15877447.2796934
2181,0.0050976510206045,0.0492248562370783,1.09571665055767,0.718090763600025,0.017131431608215,11093.410708672,190.046006857454,246.355934815218,176.905921348858,21180734.9777642,15209690.1537924
2182,0.00241078165365004,0.0494846402107963,1.09835818415644,0.684231799196024,0.017131431608215,11120.1544996848,190.504166284135,246.949845183138,168.970936880838,21231797.1050594,14527470.7333597
2183,-0.000276087713304417,0.0497444241845142,1.09805494095698,0.651807986241569,0.017131431608215,11117.0843616574,190.451570424491,246.881665365081,160.919441141578,21225935.2667473,13835234.1223125
2184,-0.00296295708025887,0.0500042081582322,1.09480145129516,0.620767022814964,0.017131431608215,11084.1449178362,189.887270595455,246.150165586701,152.801905456667,21163043.7315636,13137319.6509456
